Team,Year,WinRate,ERA,WHIP,K9,BB9,HR9,KBB,R_P,WAR_P,LOB,AVG,R_H,OBP,SLG,OPS,HR,BB,K,BBK,RISP,WAR_H,SB,EG
SK,2008,0.659,3.22,1.3,6.26,3.5,0.61,1.79,3.658730159,26.7,75.7,0.282,5.015873016,0.361,0.404,0.765,1.78,9.8,14.7,0.67,0.305,112.5,67.2,0.81
Doosan,2008,0.556,3.89,1.32,6.19,3.01,0.62,2.06,4.301587302,22.89,70.2,0.276,5.134920635,0.354,0.378,0.732,1.37,9.5,14.5,0.66,0.278,105.4,75,0.73
Lotte,2008,0.548,3.64,1.38,5.4,3.29,0.56,1.64,4.722222222,21.94,71.9,0.282,4.952380952,0.357,0.405,0.762,1.9,9.1,14.9,0.61,0.273,111.9,66.2,0.73
KIA,2008,0.452,4.08,1.38,5.87,3.79,0.52,1.55,4.833333333,21.21,69.8,0.254,4.698412698,0.333,0.395,0.728,0.99,9.4,13.3,0.71,0.251,90.7,66.8,0.56
Samsung,2008,0.516,4.4,1.42,5.63,3.33,0.7,1.69,4.404761905,19.63,68.8,0.258,4.420634921,0.344,0.376,0.72,1.89,10.4,14.4,0.72,0.274,100.1,61.5,0.548
Nexen,2008,0.397,4.43,1.44,5.83,3.72,0.73,1.57,4.73015873,18.67,69.3,0.266,3.96031746,0.331,0.368,0.699,1.45,8.2,14.8,0.56,0.274,93.5,63,0.794
Hanwha,2008,0.508,4.43,1.47,5.76,4.14,0.76,1.39,4.111111111,18.04,70.6,0.26,3.992063492,0.336,0.352,0.688,2.46,9.5,15.8,0.6,0.283,100.7,79.5,0.484
LG,2008,0.365,4.85,1.55,5.12,3.9,0.67,1.32,5.126984127,12.67,68.3,0.256,3.857142857,0.321,0.353,0.674,1.39,7.7,16.1,0.48,0.249,84.8,71.2,0.603
SK,2009,0.63,3.67,1.37,7.66,3.85,0.7,1.99,4.135338346,31.66,76,0.285,5.503759398,0.369,0.453,0.822,3.09,10.3,16.6,0.62,0.256,29.1,72.7,0.707
Samsung,2009,0.481,4.98,1.58,7,4.71,1.09,1.49,5.263157895,20.3,70.3,0.275,5.15037594,0.364,0.432,0.796,2.8,11.2,15.1,0.74,0.275,26.27,71.4,0.602
Doosan,2009,0.542,4.6,1.46,6.54,3.91,0.91,1.67,4.977443609,23.54,69.9,0.28,5.428571429,0.362,0.42,0.782,2.28,9.9,16.1,0.62,0.284,25.9,72.1,0.624
Nexen,2009,0.455,5.41,1.53,6.44,4.33,1.35,1.49,5.729323308,14.18,68,0.272,5.135338346,0.356,0.434,0.79,2.94,10.5,17.4,0.6,0.26,24.27,74.1,0.677
Hanwha,2009,0.354,5.7,1.62,6.96,4.36,1.35,1.6,6.052631579,14.66,67.8,0.269,4.939849624,0.348,0.426,0.774,3.11,9.4,19.3,0.49,0.264,23.48,77.5,0.707
KIA,2009,0.628,3.92,1.35,6.7,3.31,0.81,2.03,4.368421053,31.12,72.3,0.267,5.308270677,0.357,0.427,0.784,2.99,11.1,17.1,0.65,0.278,23.41,68.5,0.707
LG,2009,0.419,5.42,1.62,5.95,4.48,1.26,1.33,5.736842105,12.78,69.8,0.278,5.037593985,0.36,0.413,0.773,2.46,10.5,14.9,0.71,0.265,21.71,75,0.632
Lotte,2009,0.496,4.75,1.53,5.59,3.77,1.08,1.48,5.30952381,20.54,71.2,0.277,4.789473684,0.35,0.423,0.773,2.4,9,16.2,0.56,0.273,20.62,70.2,0.722
SK,2010,0.641,3.71,1.35,8.19,4.08,0.88,2.01,4.097744361,29.64,74.6,0.274,5.293233083,0.355,0.412,0.768,2.3,9.3,15.6,0.6,0.284,24.01,70.7,0.767
SK,2011,0.546,3.59,1.29,7.59,4.08,0.7,1.86,3.92481203,25.82,73.5,0.263,4.390977444,0.34,0.385,0.726,1.95,9.2,17.4,0.53,0.263,20.88,63.3,0.511
SK,2012,0.546,3.82,1.33,6.2,3.48,0.69,1.78,3.969924812,21.45,73.5,0.258,4.240601504,0.333,0.384,0.717,2.16,8.9,17.3,0.52,0.256,24.08,58.1,0.474
SK,2013,0.496,4.16,1.4,6.94,3.99,0.8,1.74,4.4609375,20.74,71.8,0.265,4.59375,0.346,0.406,0.752,2.51,9.4,18.6,0.51,0.266,25.4,69.6,0.656
SK,2014,0.484,5.57,1.59,6.67,4.16,1.22,1.6,5.9375,15.82,66.9,0.291,5.7421875,0.362,0.434,0.795,2.26,8.8,18.2,0.48,0.301,23.82,75.1,0.836
SK,2015,0.486,4.73,1.46,8.08,3.63,1.08,2.22,5.027777778,21.76,70.5,0.272,4.8125,0.349,0.41,0.759,2.6,8.8,18.7,0.47,0.28,19,61.4,0.66
SK,2016,0.479,4.94,1.5,6.68,3.72,1.07,1.79,5.444444444,18.28,67.8,0.291,5.229166667,0.356,0.454,0.811,3.21,7.6,18,0.42,0.276,20.23,59.7,0.854
Samsung,2010,0.603,3.94,1.36,7.17,3.42,0.78,2.1,4.323308271,28.95,73,0.272,5.120300752,0.368,0.406,0.774,2.23,11.8,17.3,0.68,0.265,28.84,74.2,0.692
Samsung,2011,0.612,3.35,1.33,6.33,2.97,0.69,2.13,3.857142857,29.59,74.3,0.259,4.69924812,0.343,0.376,0.719,1.85,10.2,18.3,0.56,0.262,25.18,75.6,0.564
Samsung,2012,0.611,3.39,1.24,6.71,2.91,0.49,2.31,3.556390977,28.68,71.9,0.272,4.721804511,0.353,0.389,0.742,1.72,9.7,15.8,0.62,0.273,33.8,72.3,0.504
Samsung,2013,0.595,3.98,1.33,7.5,3.23,0.77,2.32,4.2578125,24.31,71.9,0.283,5.2265625,0.359,0.416,0.776,2.24,9,16.2,0.55,0.298,29.91,69.9,0.594
Samsung,2014,0.624,4.59,1.41,7.84,3.11,0.94,2.52,4.8515625,28.7,69.9,0.301,6.34375,0.377,0.473,0.85,3.13,9.8,14.4,0.68,0.327,29.92,77.8,0.602
Samsung,2015,0.611,4.7,1.37,8.43,2.99,1.28,2.82,4.972222222,14.06,70.3,0.302,6.229166667,0.378,0.469,0.847,3.03,10,16,0.63,0.311,33.76,75.1,0.667
Samsung,2016,0.455,5.64,1.58,6.56,3.64,1.36,1.81,6.034722222,12.55,67.5,0.293,5.916666667,0.367,0.439,0.806,2.42,9.4,14.7,0.64,0.298,22.21,67.5,0.625
Doosan,2010,0.562,4.62,1.38,6.78,3.33,1.03,2.03,5.030075188,20.44,68.5,0.281,5.496240602,0.365,0.44,0.805,2.84,10.2,15.9,0.64,0.284,32.99,67.7,0.684
Doosan,2011,0.466,4.26,1.44,6.47,3.6,0.73,1.8,4.654135338,19.64,70.6,0.271,4.616541353,0.354,0.388,0.742,1.77,9.9,15.4,0.64,0.279,28,69.5,0.609
Doosan,2012,0.523,3.58,1.29,6.05,3.7,0.5,1.63,3.902255639,22.79,71.7,0.26,3.939849624,0.322,0.352,0.673,1.2,7.3,13.4,0.55,0.286,20.59,69.5,0.586
Doosan,2013,0.568,4.57,1.48,6.64,4.02,0.66,1.65,4.8828125,17.9,69.3,0.289,5.4609375,0.37,0.42,0.79,1.85,10.2,13.9,0.73,0.289,34.07,73.8,0.477
Doosan,2014,0.465,5.44,1.57,6.73,3.6,0.97,1.87,5.7265625,16.98,65.8,0.293,5.3671875,0.366,0.431,0.797,2.12,9.2,14.4,0.64,0.282,26.85,71.6,0.633
Doosan,2015,0.549,5.03,1.53,7.45,4.09,0.97,1.82,5.388888889,14.37,68.5,0.29,5.604166667,0.37,0.435,0.804,2.43,9.9,14.2,0.69,0.287,31.61,70.3,0.64
Doosan,2016,0.65,4.46,1.46,6.86,3.48,0.95,1.97,4.736111111,24.93,72.2,0.298,6.493055556,0.378,0.473,0.851,3.13,10.3,15.1,0.68,0.305,34.81,65.4,0.549
Lotte,2010,0.531,4.83,1.43,5.87,3.16,1.12,1.86,5.338345865,18.38,68.3,0.288,5.812030075,0.352,0.461,0.813,3.52,8,16.6,0.48,0.315,32.54,70.9,0.767
Lotte,2011,0.563,4.2,1.42,5.97,3.26,0.86,1.83,4.654135338,19.93,70.9,0.288,5.360902256,0.358,0.422,0.781,2.12,8.9,16,0.56,0.29,33.92,65.9,0.797
Lotte,2012,0.512,3.48,1.36,6.24,3.55,0.56,1.76,3.894736842,22.8,73.5,0.263,3.827067669,0.326,0.364,0.69,1.45,7.4,17.7,0.42,0.261,21.38,69.2,0.624
Lotte,2013,0.532,3.93,1.42,6.42,3.83,0.66,1.68,4.3203125,22.99,72.5,0.261,4.34375,0.345,0.36,0.705,1.23,10.1,17.3,0.58,0.259,19.58,69.6,0.766
Lotte,2014,0.457,5.28,1.57,6.19,3.73,1.03,1.66,5.5078125,21.29,67,0.287,5.59375,0.369,0.436,0.805,2.33,10.3,18.6,0.55,0.283,23.49,60.6,0.7
Lotte,2015,0.462,5.11,1.52,7.13,3.44,1.15,2.08,5.569444444,14.19,68.3,0.28,5.3125,0.356,0.446,0.802,3.12,9.4,20.9,0.45,0.274,21.7,67.5,0.792
Lotte,2016,0.458,5.63,1.64,7.17,4.16,1.14,1.73,6.006944444,11.08,66.8,0.288,5.395833333,0.37,0.422,0.793,2.2,10.3,18.3,0.56,0.285,21.46,69.4,0.632
KIA,2010,0.444,4.39,1.43,6.73,3.56,0.71,1.89,4.819548872,23.68,69,0.26,4.593984962,0.347,0.383,0.73,2.05,10.1,16.7,0.61,0.263,19.55,69.2,0.647
KIA,2011,0.526,4.1,1.35,7.12,3.54,0.67,2.01,4.360902256,22.78,70,0.269,4.714285714,0.357,0.395,0.752,2.07,10.8,15.3,0.71,0.28,29.09,74.8,0.504
KIA,2012,0.488,3.9,1.36,6.25,3.44,0.53,1.82,4.240601504,19.93,70.5,0.256,4.157894737,0.343,0.347,0.69,1.05,10.6,15.4,0.69,0.267,23.96,72.1,0.662
KIA,2013,0.408,5.12,1.61,7.27,4.19,0.69,1.74,5.5546875,13.69,67.2,0.261,4.5859375,0.349,0.373,0.722,1.74,10.6,17.1,0.62,0.258,22.7,75,0.555
KIA,2014,0.422,5.9,1.65,7.19,4.5,0.93,1.6,6.15625,17.24,64.3,0.288,5.171875,0.355,0.437,0.792,2.41,8.3,17.3,0.48,0.258,19.71,65.8,0.734
KIA,2015,0.465,4.8,1.53,6.92,4.04,1.01,1.71,5.131944444,20.09,70.7,0.251,4.5,0.326,0.392,0.718,2.49,8.3,20.7,0.4,0.248,5.51,69.7,0.583
KIA,2016,0.49,4.99,1.58,6.81,3.96,0.92,1.72,5.451388889,19.63,68.2,0.286,5.576388889,0.358,0.452,0.81,2.99,8.8,17.5,0.5,0.286,21.4,66.9,0.771
LG,2010,0.445,5.23,1.55,6.01,4.24,0.95,1.42,5.609022556,14.38,67.7,0.276,5.172932331,0.349,0.411,0.759,2.3,9.2,17.2,0.54,0.287,24.72,75.1,0.692
LG,2011,0.45,4.15,1.41,6.24,3.86,0.6,1.62,4.661654135,19.59,69.1,0.266,4.353383459,0.338,0.377,0.716,1.82,9,16.6,0.54,0.271,21.25,69,0.729
LG,2012,0.442,4.02,1.38,5.5,3.16,0.49,1.74,4.360902256,20.38,70.1,0.261,4.090225564,0.332,0.354,0.687,1.14,8.8,16.5,0.53,0.253,23.42,71.1,0.722
LG,2013,0.578,3.72,1.36,6.52,3.22,0.59,2.03,3.984375,24.89,73.3,0.282,4.8125,0.355,0.386,0.741,1.2,9.1,16.3,0.56,0.295,24.48,66.2,0.602
LG,2014,0.551,4.6,1.43,6.38,3.3,0.82,1.93,5.0234375,23.87,68.5,0.279,5.2109375,0.361,0.4,0.761,1.78,10.3,16.1,0.64,0.29,19.05,62.1,0.711
LG,2015,0.451,4.64,1.44,7.48,3.45,0.88,2.17,5.006944444,22.22,69.1,0.269,4.534722222,0.339,0.399,0.738,2.04,8.3,19.2,0.43,0.245,15.28,64.6,0.715
LG,2016,0.5,5.1,1.53,6.35,3.77,0.85,1.69,5.604166667,14.32,66.6,0.29,5.458333333,0.361,0.417,0.779,2.05,9.1,17,0.53,0.281,20.29,63.4,0.715
Nexen,2010,0.4,4.55,1.5,6.32,4.66,0.93,1.36,4.902255639,18.15,71.7,0.262,4.285714286,0.34,0.374,0.714,1.69,9.3,17,0.55,0.268,16.83,70.7,0.699
Nexen,2011,0.389,4.36,1.51,6.38,4.62,0.62,1.38,4.676691729,16.99,70.6,0.245,3.84962406,0.323,0.353,0.676,1.58,9.2,19.9,0.46,0.252,13,64.3,0.722
Nexen,2012,0.469,3.83,1.4,6.47,4.06,0.61,1.59,4.142857143,19.29,73,0.243,4.127819549,0.325,0.37,0.696,2.03,9.5,17.8,0.53,0.261,23.82,71.3,0.586
Nexen,2013,0.571,4.12,1.45,6.75,3.95,0.59,1.71,4.5,22.46,71.3,0.272,5.046875,0.358,0.413,0.771,2.49,10.1,18.2,0.55,0.28,28.74,66.8,0.758
Nexen,2014,0.619,5.31,1.6,7.17,4.1,1.13,1.75,5.59375,21.94,69.2,0.298,6.5703125,0.382,0.509,0.891,3.85,10.1,16.4,0.62,0.286,33.72,69.4,0.617
Nexen,2015,0.545,4.95,1.5,7.46,3.63,1.02,2.06,5.486111111,17.54,67.4,0.298,6.277777778,0.372,0.486,0.858,3.49,9.4,18.9,0.5,0.298,31.63,68,0.769
Nexen,2016,0.538,4.96,1.5,6.29,3.06,1.07,2.06,5.256944444,21.57,69.4,0.293,5.645833333,0.368,0.44,0.808,2.35,9.8,16.8,0.58,0.305,23.47,65,0.653
Hanwha,2010,0.374,5.43,1.57,6.2,4.23,1.12,1.47,5.736842105,14.3,67.3,0.244,4.082706767,0.331,0.359,0.69,2.08,9.9,18.8,0.53,0.263,11.27,63.4,0.602
